threshold,fpr,tpr
0.0,0.94,1.0
0.01,0.86,1.0
0.02,0.8,1.0
0.03,0.74,1.0
0.04,0.68,1.0
0.05,0.62,1.0
0.06,0.57,1.0
0.07,0.53,1.0
0.08,0.5,1.0
0.09,0.48,0.99
0.1,0.46,0.99
0.11,0.43,0.99
0.12,0.41,0.99
0.13,0.39,0.99
0.14,0.37,0.99
0.15,0.36,0.99
0.16,0.33,0.99
0.17,0.32,0.99
0.18,0.31,0.99
0.19,0.28,0.99
0.2,0.27,0.99
0.21,0.25,0.99
0.22,0.23,0.99
0.23,0.22,0.99
0.24,0.21,0.98
0.25,0.2,0.98
0.26,0.19,0.98
0.27,0.18,0.98
0.28,0.17,0.98
0.29,0.17,0.98
0.3,0.16,0.98
0.31,0.15,0.98
0.32,0.14,0.98
0.33,0.13,0.98
0.34,0.13,0.97
0.35,0.12,0.97
0.36,0.11,0.97
0.37,0.1,0.97
0.38,0.1,0.97
0.39,0.09,0.96
0.4,0.09,0.96
0.41,0.09,0.96
0.42,0.08,0.95
0.43,0.08,0.95
0.44,0.08,0.95
0.45,0.07,0.95
0.46,0.07,0.95
0.47,0.06,0.95
0.48,0.06,0.94
0.49,0.05,0.94
0.5,0.05,0.94
0.51,0.05,0.93
0.52,0.05,0.93
0.53,0.05,0.93
0.54,0.05,0.93
0.55,0.04,0.92
0.56,0.04,0.92
0.57,0.04,0.92
0.58,0.04,0.92
0.59,0.04,0.91
0.6,0.04,0.9
0.61,0.04,0.9
0.62,0.04,0.89
0.63,0.04,0.89
0.64,0.04,0.89
0.65,0.04,0.88
0.66,0.03,0.86
0.67,0.03,0.86
0.68,0.03,0.85
0.69,0.03,0.84
0.7,0.03,0.84
0.71,0.03,0.83
0.72,0.03,0.82
0.73,0.03,0.81
0.74,0.02,0.81
0.75,0.02,0.8
0.76,0.02,0.79
0.77,0.02,0.78
0.78,0.02,0.76
0.79,0.02,0.75
0.8,0.02,0.74
0.81,0.02,0.73
0.82,0.02,0.71
0.83,0.02,0.69
0.84,0.02,0.68
0.85,0.02,0.66
0.86,0.01,0.63
0.87,0.01,0.62
0.88,0.01,0.6
0.89,0.01,0.58
0.9,0.01,0.57
0.91,0.0,0.55
0.92,0.0,0.51
0.93,0.0,0.48
0.94,0.0,0.46
0.95,0.0,0.43
0.96,0.0,0.38
0.97,0.0,0.31
0.98,0.0,0.22
0.99,0.0,0.14
1.0,0.0,0.0
