threshold,fpr,tpr
0.0,1.0,1.0
0.01,1.0,1.0
0.02,1.0,1.0
0.03,1.0,1.0
0.04,0.99,1.0
0.05,0.98,1.0
0.06,0.97,1.0
0.07,0.97,1.0
0.08,0.95,1.0
0.09,0.95,1.0
0.1,0.95,1.0
0.11,0.95,1.0
0.12,0.93,1.0
0.13,0.93,1.0
0.14,0.91,1.0
0.15,0.89,1.0
0.16,0.89,1.0
0.17,0.89,1.0
0.18,0.88,1.0
0.19,0.87,1.0
0.2,0.85,1.0
0.21,0.81,1.0
0.22,0.8,1.0
0.23,0.78,1.0
0.24,0.73,1.0
0.25,0.73,1.0
0.26,0.68,1.0
0.27,0.67,1.0
0.28,0.67,1.0
0.29,0.65,1.0
0.3,0.64,1.0
0.31,0.63,1.0
0.32,0.62,1.0
0.33,0.59,1.0
0.34,0.58,1.0
0.35,0.57,1.0
0.36,0.56,1.0
0.37,0.54,1.0
0.38,0.54,0.99
0.39,0.53,0.99
0.4,0.53,0.99
0.41,0.53,0.99
0.42,0.48,0.99
0.43,0.46,0.99
0.44,0.45,0.99
0.45,0.45,0.99
0.46,0.45,0.99
0.47,0.43,0.99
0.48,0.41,0.99
0.49,0.4,0.99
0.5,0.37,0.99
0.51,0.37,0.99
0.52,0.37,0.99
0.53,0.35,0.99
0.54,0.34,0.99
0.55,0.32,0.98
0.56,0.31,0.98
0.57,0.3,0.98
0.58,0.29,0.98
0.59,0.27,0.98
0.6,0.27,0.98
0.61,0.26,0.98
0.62,0.26,0.98
0.63,0.26,0.98
0.64,0.25,0.98
0.65,0.23,0.98
0.66,0.21,0.97
0.67,0.2,0.97
0.68,0.19,0.97
0.69,0.18,0.97
0.7,0.16,0.97
0.71,0.15,0.97
0.72,0.12,0.97
0.73,0.11,0.97
0.74,0.09,0.97
0.75,0.08,0.96
0.76,0.07,0.96
0.77,0.07,0.96
0.78,0.07,0.96
0.79,0.05,0.95
0.8,0.05,0.95
0.81,0.04,0.95
0.82,0.04,0.94
0.83,0.04,0.94
0.84,0.04,0.93
0.85,0.04,0.93
0.86,0.04,0.93
0.87,0.04,0.93
0.88,0.03,0.93
0.89,0.03,0.92
0.9,0.02,0.9
0.91,0.0,0.9
0.92,0.0,0.88
0.93,0.0,0.85
0.94,0.0,0.83
0.95,0.0,0.81
0.96,0.0,0.78
0.97,0.0,0.73
0.98,0.0,0.66
0.99,0.0,0.56
1.0,0.0,0.0
