threshold,fpr,tpr
0.0,0.92,1.0
0.01,0.88,1.0
0.02,0.83,1.0
0.03,0.79,1.0
0.04,0.74,0.99
0.05,0.7,0.99
0.06,0.66,0.99
0.07,0.61,0.99
0.08,0.58,0.99
0.09,0.54,0.99
0.1,0.52,0.99
0.11,0.49,0.99
0.12,0.47,0.99
0.13,0.45,0.99
0.14,0.42,0.99
0.15,0.4,0.99
0.16,0.38,0.99
0.17,0.35,0.98
0.18,0.35,0.98
0.19,0.33,0.98
0.2,0.31,0.98
0.21,0.29,0.98
0.22,0.28,0.98
0.23,0.26,0.98
0.24,0.24,0.98
0.25,0.23,0.98
0.26,0.22,0.98
0.27,0.22,0.98
0.28,0.21,0.98
0.29,0.21,0.98
0.3,0.19,0.97
0.31,0.19,0.97
0.32,0.19,0.97
0.33,0.18,0.96
0.34,0.17,0.96
0.35,0.16,0.96
0.36,0.15,0.96
0.37,0.14,0.96
0.38,0.13,0.96
0.39,0.13,0.96
0.4,0.11,0.96
0.41,0.11,0.96
0.42,0.1,0.95
0.43,0.1,0.94
0.44,0.09,0.94
0.45,0.09,0.94
0.46,0.09,0.94
0.47,0.09,0.93
0.48,0.09,0.93
0.49,0.08,0.93
0.5,0.08,0.93
0.51,0.08,0.92
0.52,0.08,0.92
0.53,0.08,0.91
0.54,0.08,0.91
0.55,0.07,0.91
0.56,0.07,0.9
0.57,0.07,0.89
0.58,0.06,0.88
0.59,0.06,0.87
0.6,0.05,0.86
0.61,0.05,0.86
0.62,0.04,0.86
0.63,0.04,0.85
0.64,0.04,0.84
0.65,0.04,0.84
0.66,0.03,0.83
0.67,0.03,0.83
0.68,0.03,0.81
0.69,0.03,0.81
0.7,0.02,0.81
0.71,0.02,0.8
0.72,0.02,0.79
0.73,0.02,0.78
0.74,0.02,0.77
0.75,0.02,0.77
0.76,0.02,0.76
0.77,0.02,0.75
0.78,0.02,0.74
0.79,0.02,0.73
0.8,0.02,0.72
0.81,0.01,0.71
0.82,0.01,0.7
0.83,0.01,0.69
0.84,0.01,0.68
0.85,0.01,0.66
0.86,0.01,0.63
0.87,0.01,0.61
0.88,0.0,0.59
0.89,0.0,0.58
0.9,0.0,0.55
0.91,0.0,0.52
0.92,0.0,0.49
0.93,0.0,0.43
0.94,0.0,0.4
0.95,0.0,0.35
0.96,0.0,0.3
0.97,0.0,0.24
0.98,0.0,0.17
0.99,0.0,0.09
1.0,0.0,0.0
