threshold,fpr,tpr
0.0,0.95,1.0
0.01,0.89,1.0
0.02,0.84,1.0
0.03,0.79,1.0
0.04,0.74,1.0
0.05,0.7,1.0
0.06,0.64,1.0
0.07,0.6,1.0
0.08,0.55,0.99
0.09,0.53,0.99
0.1,0.49,0.99
0.11,0.45,0.99
0.12,0.44,0.99
0.13,0.4,0.99
0.14,0.38,0.99
0.15,0.36,0.99
0.16,0.34,0.99
0.17,0.33,0.99
0.18,0.3,0.99
0.19,0.29,0.99
0.2,0.26,0.99
0.21,0.25,0.99
0.22,0.23,0.98
0.23,0.22,0.98
0.24,0.21,0.98
0.25,0.2,0.98
0.26,0.19,0.98
0.27,0.18,0.97
0.28,0.18,0.97
0.29,0.17,0.97
0.3,0.16,0.97
0.31,0.16,0.97
0.32,0.15,0.96
0.33,0.15,0.96
0.34,0.14,0.96
0.35,0.13,0.96
0.36,0.12,0.96
0.37,0.11,0.95
0.38,0.11,0.95
0.39,0.11,0.95
0.4,0.1,0.95
0.41,0.09,0.95
0.42,0.09,0.95
0.43,0.09,0.95
0.44,0.09,0.94
0.45,0.08,0.94
0.46,0.08,0.94
0.47,0.07,0.93
0.48,0.06,0.93
0.49,0.06,0.93
0.5,0.06,0.92
0.51,0.06,0.91
0.52,0.06,0.91
0.53,0.06,0.91
0.54,0.05,0.9
0.55,0.05,0.9
0.56,0.05,0.9
0.57,0.05,0.89
0.58,0.05,0.89
0.59,0.05,0.89
0.6,0.05,0.88
0.61,0.05,0.88
0.62,0.04,0.88
0.63,0.04,0.87
0.64,0.04,0.87
0.65,0.04,0.87
0.66,0.04,0.86
0.67,0.04,0.85
0.68,0.04,0.85
0.69,0.04,0.83
0.7,0.03,0.83
0.71,0.03,0.83
0.72,0.03,0.81
0.73,0.03,0.8
0.74,0.03,0.78
0.75,0.02,0.77
0.76,0.02,0.77
0.77,0.02,0.75
0.78,0.02,0.74
0.79,0.02,0.73
0.8,0.02,0.72
0.81,0.01,0.72
0.82,0.01,0.71
0.83,0.01,0.7
0.84,0.01,0.68
0.85,0.01,0.65
0.86,0.01,0.64
0.87,0.01,0.63
0.88,0.01,0.6
0.89,0.01,0.58
0.9,0.01,0.55
0.91,0.01,0.53
0.92,0.01,0.51
0.93,0.01,0.47
0.94,0.01,0.43
0.95,0.01,0.39
0.96,0.0,0.32
0.97,0.0,0.26
0.98,0.0,0.18
0.99,0.0,0.11
1.0,0.0,0.0
