threshold,fpr,tpr
0.0,0.94,1.0
0.01,0.89,1.0
0.02,0.84,1.0
0.03,0.76,1.0
0.04,0.71,1.0
0.05,0.67,1.0
0.06,0.62,1.0
0.07,0.59,1.0
0.08,0.57,1.0
0.09,0.53,1.0
0.1,0.5,0.99
0.11,0.47,0.99
0.12,0.45,0.98
0.13,0.44,0.98
0.14,0.43,0.98
0.15,0.4,0.98
0.16,0.39,0.98
0.17,0.37,0.98
0.18,0.36,0.98
0.19,0.33,0.98
0.2,0.32,0.98
0.21,0.3,0.98
0.22,0.27,0.98
0.23,0.26,0.97
0.24,0.26,0.97
0.25,0.25,0.97
0.26,0.24,0.97
0.27,0.23,0.97
0.28,0.21,0.97
0.29,0.2,0.97
0.3,0.19,0.97
0.31,0.18,0.97
0.32,0.17,0.96
0.33,0.16,0.96
0.34,0.16,0.96
0.35,0.15,0.95
0.36,0.14,0.95
0.37,0.13,0.95
0.38,0.12,0.95
0.39,0.12,0.95
0.4,0.11,0.95
0.41,0.1,0.95
0.42,0.1,0.94
0.43,0.09,0.94
0.44,0.09,0.93
0.45,0.08,0.92
0.46,0.08,0.92
0.47,0.07,0.92
0.48,0.07,0.91
0.49,0.07,0.91
0.5,0.07,0.91
0.51,0.06,0.91
0.52,0.06,0.9
0.53,0.05,0.9
0.54,0.05,0.89
0.55,0.05,0.89
0.56,0.05,0.88
0.57,0.04,0.88
0.58,0.04,0.88
0.59,0.04,0.87
0.6,0.04,0.87
0.61,0.04,0.86
0.62,0.04,0.86
0.63,0.04,0.85
0.64,0.04,0.85
0.65,0.04,0.85
0.66,0.03,0.84
0.67,0.03,0.84
0.68,0.03,0.83
0.69,0.03,0.83
0.7,0.03,0.83
0.71,0.02,0.81
0.72,0.02,0.81
0.73,0.02,0.81
0.74,0.02,0.8
0.75,0.02,0.79
0.76,0.02,0.79
0.77,0.02,0.78
0.78,0.02,0.77
0.79,0.02,0.75
0.8,0.02,0.74
0.81,0.01,0.72
0.82,0.01,0.71
0.83,0.01,0.69
0.84,0.01,0.68
0.85,0.01,0.67
0.86,0.0,0.64
0.87,0.0,0.62
0.88,0.0,0.6
0.89,0.0,0.58
0.9,0.0,0.57
0.91,0.0,0.55
0.92,0.0,0.53
0.93,0.0,0.5
0.94,0.0,0.45
0.95,0.0,0.42
0.96,0.0,0.38
0.97,0.0,0.31
0.98,0.0,0.23
0.99,0.0,0.15
1.0,0.0,0.0
