threshold,fpr,tpr
0.0,0.92,1.0
0.01,0.86,1.0
0.02,0.82,1.0
0.03,0.78,1.0
0.04,0.73,1.0
0.05,0.69,1.0
0.06,0.66,1.0
0.07,0.63,0.99
0.08,0.6,0.99
0.09,0.56,0.99
0.1,0.55,0.99
0.11,0.51,0.99
0.12,0.48,0.99
0.13,0.45,0.99
0.14,0.43,0.98
0.15,0.42,0.98
0.16,0.4,0.98
0.17,0.38,0.98
0.18,0.37,0.98
0.19,0.34,0.98
0.2,0.31,0.98
0.21,0.3,0.98
0.22,0.27,0.98
0.23,0.25,0.98
0.24,0.23,0.98
0.25,0.21,0.98
0.26,0.2,0.98
0.27,0.19,0.98
0.28,0.18,0.98
0.29,0.16,0.98
0.3,0.15,0.97
0.31,0.13,0.97
0.32,0.13,0.97
0.33,0.12,0.96
0.34,0.11,0.96
0.35,0.1,0.96
0.36,0.1,0.96
0.37,0.09,0.96
0.38,0.09,0.96
0.39,0.08,0.95
0.4,0.08,0.94
0.41,0.07,0.94
0.42,0.07,0.94
0.43,0.06,0.94
0.44,0.05,0.94
0.45,0.05,0.94
0.46,0.05,0.93
0.47,0.04,0.93
0.48,0.04,0.93
0.49,0.04,0.93
0.5,0.04,0.92
0.51,0.03,0.92
0.52,0.03,0.92
0.53,0.03,0.91
0.54,0.03,0.91
0.55,0.03,0.91
0.56,0.03,0.91
0.57,0.03,0.91
0.58,0.02,0.91
0.59,0.02,0.9
0.6,0.02,0.9
0.61,0.02,0.89
0.62,0.02,0.89
0.63,0.02,0.88
0.64,0.02,0.87
0.65,0.02,0.87
0.66,0.02,0.87
0.67,0.02,0.86
0.68,0.02,0.85
0.69,0.02,0.84
0.7,0.01,0.83
0.71,0.01,0.82
0.72,0.01,0.82
0.73,0.01,0.82
0.74,0.01,0.81
0.75,0.01,0.79
0.76,0.01,0.79
0.77,0.01,0.77
0.78,0.01,0.76
0.79,0.01,0.75
0.8,0.01,0.75
0.81,0.01,0.74
0.82,0.01,0.72
0.83,0.01,0.71
0.84,0.01,0.7
0.85,0.0,0.69
0.86,0.0,0.68
0.87,0.0,0.66
0.88,0.0,0.64
0.89,0.0,0.61
0.9,0.0,0.59
0.91,0.0,0.56
0.92,0.0,0.53
0.93,0.0,0.5
0.94,0.0,0.46
0.95,0.0,0.4
0.96,0.0,0.35
0.97,0.0,0.31
0.98,0.0,0.25
0.99,0.0,0.16
1.0,0.0,0.0
