threshold,fpr,tpr
0.0,1.0,1.0
0.01,0.96,1.0
0.02,0.96,1.0
0.03,0.93,1.0
0.04,0.9,1.0
0.05,0.89,1.0
0.06,0.88,1.0
0.07,0.88,1.0
0.08,0.87,1.0
0.09,0.86,1.0
0.1,0.85,1.0
0.11,0.85,1.0
0.12,0.85,1.0
0.13,0.85,1.0
0.14,0.84,1.0
0.15,0.8,1.0
0.16,0.8,1.0
0.17,0.79,1.0
0.18,0.79,1.0
0.19,0.79,1.0
0.2,0.77,1.0
0.21,0.74,1.0
0.22,0.74,1.0
0.23,0.71,1.0
0.24,0.71,1.0
0.25,0.69,1.0
0.26,0.67,1.0
0.27,0.65,1.0
0.28,0.6,1.0
0.29,0.58,1.0
0.3,0.57,1.0
0.31,0.54,1.0
0.32,0.53,0.99
0.33,0.51,0.99
0.34,0.47,0.99
0.35,0.45,0.99
0.36,0.42,0.99
0.37,0.4,0.99
0.38,0.37,0.99
0.39,0.36,0.99
0.4,0.35,0.99
0.41,0.35,0.99
0.42,0.33,0.99
0.43,0.31,0.99
0.44,0.31,0.99
0.45,0.29,0.99
0.46,0.29,0.99
0.47,0.27,0.99
0.48,0.27,0.99
0.49,0.26,0.99
0.5,0.26,0.99
0.51,0.25,0.99
0.52,0.25,0.99
0.53,0.24,0.99
0.54,0.24,0.99
0.55,0.24,0.99
0.56,0.23,0.99
0.57,0.19,0.99
0.58,0.19,0.99
0.59,0.19,0.99
0.6,0.19,0.98
0.61,0.18,0.98
0.62,0.18,0.98
0.63,0.15,0.98
0.64,0.14,0.98
0.65,0.12,0.98
0.66,0.12,0.98
0.67,0.11,0.98
0.68,0.09,0.98
0.69,0.08,0.98
0.7,0.08,0.97
0.71,0.08,0.97
0.72,0.07,0.97
0.73,0.07,0.97
0.74,0.07,0.97
0.75,0.07,0.97
0.76,0.07,0.97
0.77,0.05,0.97
0.78,0.05,0.97
0.79,0.05,0.96
0.8,0.05,0.96
0.81,0.04,0.96
0.82,0.04,0.96
0.83,0.04,0.95
0.84,0.04,0.95
0.85,0.04,0.95
0.86,0.04,0.94
0.87,0.03,0.94
0.88,0.03,0.93
0.89,0.03,0.92
0.9,0.02,0.91
0.91,0.02,0.9
0.92,0.01,0.89
0.93,0.01,0.87
0.94,0.0,0.85
0.95,0.0,0.83
0.96,0.0,0.8
0.97,0.0,0.77
0.98,0.0,0.7
0.99,0.0,0.57
1.0,0.0,0.0
