threshold,fpr,tpr
0.0,0.85,1.0
0.01,0.73,0.99
0.02,0.62,0.99
0.03,0.56,0.99
0.04,0.49,0.99
0.05,0.46,0.98
0.06,0.42,0.98
0.07,0.39,0.98
0.08,0.35,0.98
0.09,0.32,0.97
0.1,0.3,0.97
0.11,0.27,0.97
0.12,0.25,0.96
0.13,0.23,0.96
0.14,0.21,0.96
0.15,0.19,0.96
0.16,0.18,0.96
0.17,0.17,0.96
0.18,0.17,0.96
0.19,0.16,0.96
0.2,0.14,0.96
0.21,0.14,0.96
0.22,0.13,0.95
0.23,0.12,0.95
0.24,0.11,0.94
0.25,0.11,0.94
0.26,0.1,0.94
0.27,0.09,0.94
0.28,0.09,0.94
0.29,0.09,0.94
0.3,0.09,0.94
0.31,0.08,0.94
0.32,0.08,0.93
0.33,0.08,0.93
0.34,0.07,0.93
0.35,0.07,0.93
0.36,0.06,0.93
0.37,0.06,0.92
0.38,0.06,0.92
0.39,0.06,0.92
0.4,0.06,0.92
0.41,0.05,0.91
0.42,0.05,0.91
0.43,0.04,0.9
0.44,0.04,0.89
0.45,0.04,0.89
0.46,0.03,0.89
0.47,0.03,0.89
0.48,0.03,0.88
0.49,0.03,0.88
0.5,0.03,0.88
0.51,0.03,0.88
0.52,0.03,0.87
0.53,0.03,0.86
0.54,0.02,0.85
0.55,0.02,0.84
0.56,0.02,0.84
0.57,0.02,0.84
0.58,0.02,0.83
0.59,0.02,0.83
0.6,0.01,0.81
0.61,0.01,0.8
0.62,0.01,0.79
0.63,0.01,0.79
0.64,0.01,0.78
0.65,0.01,0.77
0.66,0.01,0.77
0.67,0.01,0.76
0.68,0.01,0.76
0.69,0.01,0.74
0.7,0.01,0.74
0.71,0.01,0.73
0.72,0.01,0.73
0.73,0.01,0.71
0.74,0.01,0.7
0.75,0.01,0.7
0.76,0.01,0.68
0.77,0.01,0.67
0.78,0.01,0.66
0.79,0.01,0.65
0.8,0.01,0.63
0.81,0.01,0.61
0.82,0.01,0.58
0.83,0.01,0.55
0.84,0.01,0.53
0.85,0.01,0.52
0.86,0.0,0.49
0.87,0.0,0.46
0.88,0.0,0.43
0.89,0.0,0.41
0.9,0.0,0.35
0.91,0.0,0.31
0.92,0.0,0.28
0.93,0.0,0.24
0.94,0.0,0.2
0.95,0.0,0.17
0.96,0.0,0.13
0.97,0.0,0.08
0.98,0.0,0.04
0.99,0.0,0.01
1.0,0.0,0.0
